spec	x	y	age	loc_id
Propotamochoerus_palaeochoerus	1.09	41.78	9.2500	a35
Aceratherium_incisivum	-1.98	40.61	9.2500	a27
Aceratherium_incisivum	27.42	40.77	9.2500	a28
Aceratherium_incisivum	-1.89	40.87	9.2500	a29
Aceratherium_incisivum	-2.04	40.87	9.2500	a30
Aceratherium_incisivum	-0.04	40.88	9.2500	a31
Aceratherium_incisivum	1.09	41.78	9.2500	a32
Aceratherium_incisivum	1.09	41.78	9.2500	a33
Aceratherium_incisivum	1.08	41.78	9.2500	a34
Aceratherium_incisivum	1.09	41.78	9.2500	a35
Aceratherium_incisivum	1.12	41.79	9.2500	a36
Aceratherium_incisivum	2.45	44.64	9.2500	a37
Aceratherium_incisivum	29.02	47.28	9.2500	a38
Acerorhinus_hezhengensis	100.34	34.61	9.2500	a71
Acerorhinus_hezhengensis	109.11	38.83	9.2500	a72
Acerorhinus_zernowi	27.42	40.77	9.2500	a28
Acerorhinus_zernowi	49.61	40.90	9.2500	a88
Alicornops_simorrensis	1.12	41.79	9.2500	a36
Alicornops_simorrensis	2.45	44.64	9.2500	a37
Alicornops_simorrensis	-9.94	39.46	9.2500	a823
Ceratotherium_neumayri	25.36	39.91	9.2500	a1183
Ceratotherium_neumayri	22.62	40.61	9.2500	a298
Ceratotherium_neumayri	29.21	47.75	9.2500	a300
Chilotherium_anderssoni	76.90	43.41	9.2500	a3234
Chilotherium_habereri	25.36	39.91	9.2500	a1183
Chilotherium_habereri	109.11	38.83	9.2500	a72
Chilotherium_schlosseri	29.02	47.28	9.2500	a38
Chilotherium_wimani	101.82	35.74	9.2500	a3253
Chilotherium_wimani	109.11	38.83	9.2500	a3254
Chilotherium_wimani	100.34	34.61	9.2500	a71
Dihoplus_schleiermacheri	-1.98	40.61	9.2500	a27
Dihoplus_schleiermacheri	27.42	40.77	9.2500	a28
Dihoplus_schleiermacheri	-1.89	40.87	9.2500	a29
Dihoplus_schleiermacheri	-2.04	40.87	9.2500	a30
