"spec" "x" "y" "age" "loc_id" "optional"
"151" "Dihoplus_schleiermacheri" 4.59 45.36 9.25 "a3800" TRUE
"152" "Iranotherium_morgani" 101.82 35.74 9.25 "a3253" TRUE
"154" "Subchilotherium_intermedium" 92.11 29.14 9.25 "a3812" TRUE
"155" "Dinocrocuta_gigantea" 101.82 35.74 9.25 "a3253" TRUE
"156" "Dinocrocuta_gigantea" 109.11 38.83 9.25 "a3254" TRUE
"157" "Dinocrocuta_gigantea" 92.11 29.14 9.25 "a3812" TRUE
"158" "Dinocrocuta_gigantea" 100.34 34.61 9.25 "a71" TRUE
"159" "Dinocrocuta_gigantea" 109.11 38.83 9.25 "a72" TRUE
"161" "Schizochoerus_vallesiensis" 1.09 41.78 9.25 "a33" TRUE
"162" "Schizochoerus_vallesiensis" 1.09 41.78 9.25 "a35" TRUE
"163" "Eomellivora_wimani" 29.02 47.28 9.25 "a38" TRUE
"164" "Melodon_majori" 101.82 35.74 9.25 "a3253" TRUE
"165" "Plesiogulo_brachygnathus" 27.88 47.63 9.25 "a4445" TRUE
"166" "Plesiogulo_brachygnathus" 109.11 38.83 9.25 "a72" TRUE
"167" "Plesiogulo_crassa" 76.9 43.41 9.25 "a3234" TRUE
"168" "Plesiomeles_cajali" 1.09 41.78 9.25 "a33" TRUE
"169" "Promephitis_hootoni" 101.82 35.74 9.25 "a3253" TRUE
"170" "Promephitis_maeotica" 29.02 47.28 9.25 "a38" TRUE
"171" "Promephitis_parvus" 101.82 35.74 9.25 "a3253" TRUE
"172" "Micromeryx_flourensianus" -1.89 40.87 9.25 "a29" TRUE
"173" "Micromeryx_flourensianus" 1.09 41.78 9.25 "a33" TRUE
"174" "Micromeryx_flourensianus" 1.09 41.78 9.25 "a35" TRUE
"175" "Micromeryx_flourensianus" 1.12 41.79 9.25 "a36" TRUE
"176" "Adcrocuta_eximia" -1.98 40.61 9.25 "a27" TRUE
"177" "Adcrocuta_eximia" 22.57 40.61 9.25 "a296" TRUE
"178" "Adcrocuta_eximia" 22.57 40.61 9.25 "a297" TRUE
"179" "Adcrocuta_eximia" 22.62 40.61 9.25 "a298" TRUE
"180" "Adcrocuta_eximia" 49.15 40.97 9.25 "a299" TRUE
"181" "Adcrocuta_eximia" -2.04 40.87 9.25 "a30" TRUE
"182" "Adcrocuta_eximia" 29.21 47.75 9.25 "a300" TRUE
"183" "Adcrocuta_eximia" 30.71 48.71 9.25 "a301" TRUE
"184" "Adcrocuta_eximia" -0.04 40.88 9.25 "a31" TRUE
"185" "Adcrocuta_eximia" 1.09 41.78 9.25 "a33" TRUE
"186" "Adcrocuta_eximia" 29.02 47.28 9.25 "a38" TRUE
"187" "Hyaenictitherium_hyaenoides" 29.21 47.75 9.25 "a300" TRUE
"188" "Hyaenictitherium_hyaenoides" 101.82 35.74 9.25 "a3253" TRUE
"189" "Hyaenictitherium_parvum" 29.21 47.75 9.25 "a300" TRUE
"190" "Hyaenictitherium_wongii" 100.34 34.61 9.25 "a71" TRUE
"191" "Hyaenictitherium_wongii" 109.11 38.83 9.25 "a72" TRUE
"192" "Ictitherium_viverrinum" 2.45 44.64 9.25 "a37" TRUE
"193" "Ictitherium_viverrinum" 29.02 47.28 9.25 "a38" TRUE
"194" "Lycyaena_chaeretis" -1.89 40.87 9.25 "a29" TRUE
"195" "Thalassictis_hipparionum" 49.15 40.97 9.25 "a299" TRUE
"196" "Thalassictis_robusta" 1.09 41.78 9.25 "a33" TRUE
"197" "Tetralophodon_exoletus" 101.82 35.74 9.25 "a3253" TRUE
"199" "Tetralophodon_longirostris" -1.89 40.87 9.25 "a29" TRUE
"200" "Tetralophodon_longirostris" 1.09 41.78 9.25 "a33" TRUE
"201" "Tetralophodon_longirostris" 1.09 41.78 9.25 "a35" TRUE
"202" "Tetralophodon_longirostris" -0.75 43.33 9.25 "a3593" TRUE
"203" "Tetralophodon_longirostris" 1.12 41.79 9.25 "a36" TRUE
"204" "Tetralophodon_longirostris" 29.02 47.28 9.25 "a38" TRUE
"205" "Tetralophodon_longirostris" 27.88 47.63 9.25 "a4445" TRUE
"206" "Tetralophodon_longirostris" -2 40.49 9.25 "a7197" TRUE
"208" "Bohlinia_attica" 22.57 40.61 9.25 "a296" TRUE
"209" "Decennatherium_macedoniae" 22.57 40.61 9.25 "a296" TRUE
"210" "Decennatherium_pachecoi" -1.98 40.61 9.25 "a27" TRUE
"211" "Decennatherium_pachecoi" -2.04 40.87 9.25 "a30" TRUE
"212" "Decennatherium_pachecoi" -0.04 40.88 9.25 "a31" TRUE
