"spec" "x" "y" "age" "loc_id" "optional"
"555" "Hipparion_weihoense" 107.06 33.85 10.1 "a4629" TRUE
"556" "Hipparion_weihoense" 107.06 33.85 10.1 "a4630" TRUE
"558" "Hippotherium_primigenium" 17.26 48.89 10.1 "a4757" TRUE
"559" "Hippotherium_primigenium" 22.62 40.61 10.1 "a91" TRUE
"560" "Hippotherium_sumegense" 17.06 46.66 10.1 "a4765" TRUE
"561" "Hippotherium_sumegense" 16.36 47.67 10.1 "a4766" TRUE
"562" "Deinotherium_giganteum" -0.74 44.18 10.1 "a3642" TRUE
"564" "Deinotherium_giganteum" 16.09 47.87 10.1 "a3644" TRUE
"565" "Deinotherium_giganteum" 16.19 47.87 10.1 "a3645" TRUE
"566" "Deinotherium_giganteum" 15.8 48.83 10.1 "a3646" TRUE
"567" "Orygotherium_escheri" 16.36 47.67 10.1 "a4766" TRUE
"568" "Amphiprox_anocerus" 1.1 41.78 10.1 "a41" TRUE
"569" "Cervavitus_variabilis" 16.19 47.87 10.1 "a3129" TRUE
"570" "Euprox_dicranoceros" 16.19 47.87 10.1 "a3645" TRUE
"571" "Euprox_minimus" 1.1 41.78 10.1 "a41" TRUE
"572" "Procapreolus_loczyi" 16.19 47.87 10.1 "a3129" TRUE
"573" "Gazella_ancyrensis" 31.98 40.97 10.1 "a1588" TRUE
"574" "Gazella_deperdita" 1.1 41.78 10.1 "a41" TRUE
"575" "Miotragocerus_pannoniae" 16.09 47.87 10.1 "a3644" TRUE
"576" "Palaeoreas_brachyceras" 31.98 40.97 10.1 "a1588" TRUE
"577" "Prostrepsiceros_elegans" 31.98 40.97 10.1 "a1588" TRUE
"578" "Prostrepsiceros_vallesiensis" 31.98 40.97 10.1 "a6847" TRUE
"579" "Protragocerus_chantrei" 16.48 47.67 10.1 "a6942" TRUE
"580" "Pseudotragus_capricornis" 31.98 40.97 10.1 "a1905" TRUE
"615" "Hippopotamodon_antiquus" 31.99 40.96 10.3 "a4669" TRUE
"616" "Dinocrocuta_senyureki" 31.98 40.95 10.3 "a3818" TRUE
"617" "Ictitherium_intuberculatum" 31.99 40.96 10.3 "a4999" TRUE
"618" "Decennatherium_macedoniae" 31.97 40.96 10.3 "a3572" TRUE
"619" "Palaeotragus_coelophrys" 31.97 40.96 10.3 "a3572" TRUE
"620" "Palaeotragus_coelophrys" 31.99 40.96 10.3 "a4999" TRUE
"621" "Palaeotragus_coelophrys" 31.97 40.96 10.3 "a6395" TRUE
"622" "Palaeotragus_coelophrys" 31.98 40.97 10.3 "a6396" TRUE
"623" "Protoryx_solignaci" 31.97 40.96 10.3 "a3572" TRUE
"624" "Protoryx_solignaci" 31.97 40.96 10.3 "a6395" TRUE
"625" "Protoryx_solignaci" 31.93 40.93 10.3 "a6901" TRUE
"626" "Protoryx_solignaci" 31.98 40.97 10.3 "a6902" TRUE
"627" "Protoryx_solignaci" 31.98 40.97 10.3 "a6903" TRUE
"628" "Pseudotragus_capricornis" 31.97 40.96 10.3 "a3572" TRUE
"629" "Pseudotragus_capricornis" 31.98 40.95 10.3 "a3818" TRUE
"630" "Pseudotragus_capricornis" 31.97 40.96 10.3 "a6395" TRUE
"631" "Pseudotragus_capricornis" 31.98 40.97 10.3 "a6974" TRUE
"632" "Sinapodorcas_incarinatus" 31.99 40.96 10.3 "a4999" TRUE
"634" "Hemicyon_sansaniensis" -0.76 40.62 10.35 "a3213" TRUE
"635" "Indarctos_arctoides" 28 47.39 10.35 "a55" TRUE
"636" "Dorcatherium_jourdani" 1.19 41.56 10.35 "a46" TRUE
"637" "Dorcatherium_jourdani" 1.19 41.76 10.35 "a47" TRUE
"638" "Dorcatherium_naui" 15.81 48.86 10.35 "a3655" TRUE
"639" "Dorcatherium_naui" -5.09 41.19 10.35 "a43" TRUE
"640" "Dorcatherium_naui" 6.27 47.7 10.35 "a56" TRUE
"641" "Dorcatherium_naui" 15.64 48.84 10.35 "a60" TRUE
"642" "Dorcatherium_naui" 8 50 10.35 "a61" TRUE
"643" "Dorcatherium_puyhauberti" 28.98 38.45 10.35 "a2947" TRUE
"644" "Albanohyus_pygmaeus" 15.64 48.84 10.35 "a60" TRUE
"645" "Conohyus_simorrensis" -0.56 43.47 10.35 "a3312" TRUE
"646" "Conohyus_simorrensis" -0.17 47.52 10.35 "a3313" TRUE
"647" "Hippopotamodon_antiquus" 28.98 38.45 10.35 "a2947" TRUE
"648" "Hippopotamodon_antiquus" 7.05 50.12 10.35 "a3663" TRUE
"649" "Hippopotamodon_antiquus" 28.44 46.94 10.35 "a52" TRUE
"650" "Hippopotamodon_antiquus" 8 50 10.35 "a61" TRUE
"651" "Listriodon_splendens" -0.38 41.42 10.35 "a1546" TRUE
"652" "Listriodon_splendens" -0.56 43.47 10.35 "a3312" TRUE
"653" "Listriodon_splendens" 7.13 49.97 10.35 "a3660" TRUE
"654" "Listriodon_splendens" 7.05 50.12 10.35 "a3663" TRUE
"655" "Listriodon_splendens" -0.18 41.42 10.35 "a44" TRUE
"656" "Listriodon_splendens" -0.38 41.42 10.35 "a45" TRUE
"657" "Listriodon_splendens" 1.19 41.56 10.35 "a46" TRUE
"658" "Listriodon_splendens" 1.19 41.76 10.35 "a47" TRUE
"659" "Listriodon_splendens" 1.12 41.9 10.35 "a4759" TRUE
"660" "Listriodon_splendens" 1.22 41.78 10.35 "a48" TRUE
"663" "Listriodon_splendens" 9.68 48.19 10.35 "a5246" TRUE
"664" "Listriodon_splendens" 9.47 48.29 10.35 "a5247" TRUE
"665" "Listriodon_splendens" 8 50 10.35 "a61" TRUE
"666" "Listriodon_splendens" -2.09 41.28 10.35 "a824" TRUE
"667" "Listriodon_splendens" 11.05 48.7 10.35 "a827" TRUE
"668" "Microstonyx_major" 0.97 42.58 10.35 "a4788" TRUE
"669" "Parachleuastochoerus_crusafonti" -0.38 41.42 10.35 "a45" TRUE
"670" "Parachleuastochoerus_crusafonti" 1.12 41.9 10.35 "a4759" TRUE
"671" "Parachleuastochoerus_crusafonti" 1.22 41.78 10.35 "a48" TRUE
"672" "Parachleuastochoerus_crusafonti" 0.56 42.59 10.35 "a49" TRUE
"673" "Parachleuastochoerus_huenermanni" -0.38 41.42 10.35 "a1546" TRUE
"674" "Parachleuastochoerus_huenermanni" 7.13 49.97 10.35 "a3660" TRUE
"675" "Parachleuastochoerus_huenermanni" 7.05 50.12 10.35 "a3663" TRUE
"676" "Parachleuastochoerus_huenermanni" -0.38 41.42 10.35 "a45" TRUE
"677" "Parachleuastochoerus_huenermanni" 1.19 41.76 10.35 "a47" TRUE
"678" "Parachleuastochoerus_huenermanni" 1.22 41.78 10.35 "a48" TRUE
"679" "Parachleuastochoerus_huenermanni" 6.27 47.7 10.35 "a56" TRUE
"680" "Parachleuastochoerus_huenermanni" 0.71 42.53 10.35 "a6436" TRUE
"681" "Parachleuastochoerus_huenermanni" -2.09 41.28 10.35 "a824" TRUE
"682" "Parachleuastochoerus_steinheimensis" -0.38 41.42 10.35 "a1546" TRUE
"683" "Parachleuastochoerus_steinheimensis" 7.13 49.97 10.35 "a3660" TRUE
"684" "Parachleuastochoerus_steinheimensis" 7.05 50.12 10.35 "a3663" TRUE
"685" "Parachleuastochoerus_steinheimensis" -0.18 41.42 10.35 "a44" TRUE
"686" "Parachleuastochoerus_steinheimensis" -0.38 41.42 10.35 "a45" TRUE
"687" "Parachleuastochoerus_steinheimensis" 1.19 41.76 10.35 "a47" TRUE
"688" "Parachleuastochoerus_steinheimensis" 1.22 41.78 10.35 "a48" TRUE
"689" "Parachleuastochoerus_steinheimensis" 9.68 48.19 10.35 "a5246" TRUE
"690" "Parachleuastochoerus_steinheimensis" 6.27 47.7 10.35 "a56" TRUE
"691" "Parachleuastochoerus_steinheimensis" 8 50 10.35 "a61" TRUE
"692" "Parachleuastochoerus_steinheimensis" -2.09 41.28 10.35 "a824" TRUE
"693" "Parachleuastochoerus_steinheimensis" 11.05 48.7 10.35 "a827" TRUE
"694" "Propotamochoerus_palaeochoerus" -0.38 41.42 10.35 "a1546" TRUE
"695" "Propotamochoerus_palaeochoerus" -0.76 40.62 10.35 "a3213" TRUE
"696" "Propotamochoerus_palaeochoerus" 7.13 49.97 10.35 "a3660" TRUE
"697" "Propotamochoerus_palaeochoerus" 7.05 50.12 10.35 "a3663" TRUE
"698" "Propotamochoerus_palaeochoerus" -5.09 41.19 10.35 "a43" TRUE
"699" "Propotamochoerus_palaeochoerus" -0.18 41.42 10.35 "a44" TRUE
"700" "Propotamochoerus_palaeochoerus" 1.19 41.56 10.35 "a46" TRUE
"701" "Propotamochoerus_palaeochoerus" 1.19 41.76 10.35 "a47" TRUE
"702" "Propotamochoerus_palaeochoerus" 1.12 41.9 10.35 "a4759" TRUE
"703" "Propotamochoerus_palaeochoerus" 0.97 42.58 10.35 "a4788" TRUE
"704" "Propotamochoerus_palaeochoerus" 0.56 42.59 10.35 "a49" TRUE
"706" "Propotamochoerus_palaeochoerus" 16.1 47.77 10.35 "a57" TRUE
"707" "Propotamochoerus_palaeochoerus" 8 50 10.35 "a61" TRUE
"708" "Propotamochoerus_palaeochoerus" -2.76 41.05 10.35 "a6824" TRUE
"709" "Propotamochoerus_palaeochoerus" -0.33 43.3 10.35 "a6825" TRUE
"710" "Propotamochoerus_palaeochoerus" 11.08 48.3 10.35 "a6826" TRUE
"711" "Propotamochoerus_palaeochoerus" 26.28 49.98 10.35 "a6827" TRUE
"712" "Aceratherium_incisivum" -5.09 41.19 10.35 "a43" TRUE
"713" "Aceratherium_incisivum" -0.18 41.42 10.35 "a44" TRUE
"714" "Aceratherium_incisivum" -0.38 41.42 10.35 "a45" TRUE
"715" "Aceratherium_incisivum" 1.19 41.56 10.35 "a46" TRUE
"716" "Aceratherium_incisivum" 1.19 41.76 10.35 "a47" TRUE
"717" "Aceratherium_incisivum" 1.22 41.78 10.35 "a48" TRUE
"718" "Aceratherium_incisivum" 0.56 42.59 10.35 "a49" TRUE
"719" "Aceratherium_incisivum" -0.55 43.55 10.35 "a50" TRUE
"720" "Aceratherium_incisivum" 4.37 46.26 10.35 "a51" TRUE
"721" "Aceratherium_incisivum" 28.44 46.94 10.35 "a52" TRUE
"722" "Aceratherium_incisivum" 27.36 46.95 10.35 "a53" TRUE
"723" "Aceratherium_incisivum" 26.83 47.27 10.35 "a54" TRUE
"724" "Aceratherium_incisivum" 28 47.39 10.35 "a55" TRUE
"725" "Aceratherium_incisivum" 6.27 47.7 10.35 "a56" TRUE
"726" "Aceratherium_incisivum" 16.1 47.77 10.35 "a57" TRUE
"727" "Aceratherium_incisivum" 7.76 47.98 10.35 "a58" TRUE
"728" "Aceratherium_incisivum" 8.21 48.64 10.35 "a59" TRUE
"729" "Aceratherium_incisivum" 15.64 48.84 10.35 "a60" TRUE
"730" "Aceratherium_incisivum" 8 50 10.35 "a61" TRUE
"731" "Aceratherium_incisivum" 7.43 50.08 10.35 "a62" TRUE
"732" "Aceratherium_incisivum" 70.07 50.63 10.35 "a63" TRUE
"733" "Acerorhinus_tsaidamensis" 104.31 37.86 10.35 "a78" TRUE
"734" "Acerorhinus_zernowi" 28.1 47.6 10.35 "a92" TRUE
"735" "Alicornops_simorrensis" -5.09 41.19 10.35 "a43" TRUE
"736" "Alicornops_simorrensis" -0.18 41.42 10.35 "a44" TRUE
"737" "Alicornops_simorrensis" 1.19 41.76 10.35 "a47" TRUE
"738" "Alicornops_simorrensis" 28.44 46.94 10.35 "a52" TRUE
"739" "Alicornops_simorrensis" 27.36 46.95 10.35 "a53" TRUE
"740" "Alicornops_simorrensis" 28 47.39 10.35 "a55" TRUE
"741" "Alicornops_simorrensis" 6.27 47.7 10.35 "a56" TRUE
"742" "Alicornops_simorrensis" -2.09 41.28 10.35 "a824" TRUE
"743" "Alicornops_simorrensis" 27.38 44.95 10.35 "a825" TRUE
"744" "Alicornops_simorrensis" 10.45 48.4 10.35 "a826" TRUE
"745" "Alicornops_simorrensis" 11.05 48.7 10.35 "a827" TRUE
"746" "Brachypotherium_brachypus" 11.05 48.7 10.35 "a827" TRUE
"747" "Ceratotherium_neumayri" 28.98 38.45 10.35 "a2947" TRUE
"748" "Chilotherium_primigenius" 100.25 34.54 10.35 "a3245" TRUE
"749" "Dihoplus_schleiermacheri" 7.13 49.97 10.35 "a3660" TRUE
"750" "Dihoplus_schleiermacheri" 7.07 50.11 10.35 "a3662" TRUE
"751" "Dihoplus_schleiermacheri" 4.53 44.04 10.35 "a3802" TRUE
"752" "Dihoplus_schleiermacheri" 8.16 48.63 10.35 "a3803" TRUE
"753" "Dihoplus_schleiermacheri" 1.19 41.56 10.35 "a46" TRUE
"754" "Dihoplus_schleiermacheri" 0.56 42.59 10.35 "a49" TRUE
"755" "Dihoplus_schleiermacheri" 6.27 47.7 10.35 "a56" TRUE
"756" "Dihoplus_schleiermacheri" 8.21 48.64 10.35 "a59" TRUE
"757" "Dihoplus_schleiermacheri" 8 50 10.35 "a61" TRUE
"758" "Hoploaceratherium_tetradactylum" 1.19 41.76 10.35 "a47" TRUE
"759" "Hoploaceratherium_tetradactylum" 0.97 42.58 10.35 "a4788" TRUE
"760" "Lartetotherium_sansaniensis" -0.18 41.42 10.35 "a44" TRUE
"761" "Lartetotherium_sansaniensis" 1.19 41.76 10.35 "a47" TRUE
"762" "Lartetotherium_sansaniensis" -2.09 41.28 10.35 "a824" TRUE
"763" "Ningxiatherium_euryrhinus" 101.84 35.72 10.35 "a3815" TRUE
"764" "Parelasmotherium_linxiaense" 101.84 35.72 10.35 "a3815" TRUE
"765" "Stephanorhinus_orientalis" 107.06 33.85 10.35 "a6007" TRUE
"766" "Subchilotherium_intermedium" 28.98 38.45 10.35 "a2947" TRUE
"767" "Dinocrocuta_gigantea" 101.84 35.72 10.35 "a3815" TRUE
"768" "Dinocrocuta_gigantea" 22.8 41.62 10.35 "a3816" TRUE
"769" "Dinocrocuta_robusta" 28.44 46.94 10.35 "a52" TRUE
"770" "Dinocrocuta_robusta" 27.36 46.95 10.35 "a53" TRUE
"771" "Dinocrocuta_robusta" 28 47.39 10.35 "a55" TRUE
"772" "Dinocrocuta_robusta" 28.1 47.6 10.35 "a92" TRUE
"773" "Dinocrocuta_senyureki" 28.98 38.45 10.35 "a2947" TRUE
"774" "Palaeomeryx_eminens" -0.17 47.52 10.35 "a3313" TRUE
"775" "Palaeomeryx_eminens" 7.13 49.97 10.35 "a3660" TRUE
"776" "Palaeomeryx_eminens" 7.05 50.12 10.35 "a3663" TRUE
"777" "Palaeomeryx_eminens" 15.64 48.84 10.35 "a60" TRUE
"778" "Schizochoerus_vallesiensis" 28.44 46.94 10.35 "a52" TRUE
"779" "Schizochoerus_vallesiensis" 25.62 41.59 10.35 "a7025" TRUE
"780" "Barbourofelis_piveteaui" 28.44 46.94 10.35 "a52" TRUE
"781" "Eomellivora_wimani" 16.13 48.93 10.35 "a4185" TRUE
"782" "Eomellivora_wimani" -5.09 41.19 10.35 "a43" TRUE
"783" "Limnonyx_sinerizi" -0.18 41.42 10.35 "a44" TRUE
"784" "Limnonyx_sinerizi" 1.19 41.76 10.35 "a47" TRUE
"785" "Mesomephitis_medius" -0.38 41.42 10.35 "a1546" TRUE
"786" "Mesomephitis_medius" -0.18 41.42 10.35 "a44" TRUE
"787" "Mesomephitis_medius" 1.19 41.76 10.35 "a47" TRUE
"788" "Plesiogulo_brachygnathus" 27.36 46.95 10.35 "a53" TRUE
"789" "Plesiomeles_pusilla" 9.68 48.19 10.35 "a5246" TRUE
"790" "Sivaonyx_hessicus" 8 50 10.35 "a61" TRUE
"791" "Micromeryx_flourensianus" -0.38 41.42 10.35 "a1546" TRUE
"792" "Micromeryx_flourensianus" -0.76 40.62 10.35 "a3213" TRUE
"793" "Micromeryx_flourensianus" -5.09 41.19 10.35 "a43" TRUE
"794" "Micromeryx_flourensianus" 1.19 41.76 10.35 "a47" TRUE
"795" "Micromeryx_flourensianus" 15.64 48.84 10.35 "a60" TRUE
"796" "Micromeryx_flourensianus" 6.69 47.65 10.35 "a6045" TRUE
"797" "Simocyon_diaphorus" 8 50 10.35 "a61" TRUE
"798" "Adcrocuta_eximia" 93.83 35.82 10.35 "a302" TRUE
"799" "Ictitherium_viverrinum" 16.13 48.93 10.35 "a4185" TRUE
"800" "Ictitherium_viverrinum" 16.1 47.77 10.35 "a57" TRUE
"801" "Thalassictis_hipparionum" -0.38 41.42 10.35 "a1546" TRUE
"802" "Thalassictis_robusta" 7.76 47.98 10.35 "a58" TRUE
"803" "Thalassictis_robusta" 28.05 47.4 10.35 "a7205" TRUE
"804" "Gomphotherium_angustidens" 7.04 49.27 10.35 "a3658" TRUE
"805" "Gomphotherium_angustidens" 7.07 50.11 10.35 "a3662" TRUE
"806" "Gomphotherium_angustidens" 7.05 50.12 10.35 "a3663" TRUE
"808" "Gomphotherium_angustidens" 7.12 50.04 10.35 "a4486" TRUE
"809" "Gomphotherium_angustidens" -0.38 41.42 10.35 "a45" TRUE
"810" "Gomphotherium_angustidens" 1.22 41.78 10.35 "a48" TRUE
"811" "Gomphotherium_angustidens" 0.56 42.59 10.35 "a49" TRUE
"812" "Gomphotherium_angustidens" 8 50 10.35 "a61" TRUE
"813" "Gomphotherium_steinheimense" 11.08 48.7 10.35 "a3654" TRUE
"814" "Gomphotherium_subtapiroideum" 11.05 48.7 10.35 "a827" TRUE
"815" "Platybelodon_grangeri" 103.76 37.36 10.35 "a6655" TRUE
"816" "Tetralophodon_exoletus" 101.84 35.72 10.35 "a3815" TRUE
"817" "Tetralophodon_exoletus" 104.31 37.86 10.35 "a78" TRUE
"818" "Tetralophodon_longirostris" 7.28 49.83 10.35 "a1034" TRUE
"819" "Tetralophodon_longirostris" 15.27 46.84 10.35 "a3647" TRUE
"820" "Tetralophodon_longirostris" 16.19 47.83 10.35 "a3653" TRUE
"821" "Tetralophodon_longirostris" 7.04 49.27 10.35 "a3658" TRUE
"822" "Tetralophodon_longirostris" 7.13 49.97 10.35 "a3660" TRUE
"823" "Tetralophodon_longirostris" 7.05 50.12 10.35 "a3663" TRUE
"824" "Tetralophodon_longirostris" 7.12 50.04 10.35 "a4486" TRUE
"825" "Tetralophodon_longirostris" 1.19 41.56 10.35 "a46" TRUE
"826" "Tetralophodon_longirostris" 0.56 42.59 10.35 "a49" TRUE
"827" "Tetralophodon_longirostris" -0.55 43.55 10.35 "a50" TRUE
"828" "Tetralophodon_longirostris" 26.83 47.27 10.35 "a54" TRUE
"829" "Tetralophodon_longirostris" 28 47.39 10.35 "a55" TRUE
"830" "Tetralophodon_longirostris" 6.27 47.7 10.35 "a56" TRUE
"831" "Tetralophodon_longirostris" 15.64 48.84 10.35 "a60" TRUE
"832" "Tetralophodon_longirostris" 8 50 10.35 "a61" TRUE
"833" "Tetralophodon_longirostris" 1.27 41.78 10.35 "a7198" TRUE
"834" "Tetralophodon_longirostris" 16.12 47.83 10.35 "a7199" TRUE
"835" "Decennatherium_pachecoi" -1.88 40.71 10.35 "a3573" TRUE
"836" "Decennatherium_pachecoi" -5.09 41.19 10.35 "a43" TRUE
"838" "Machairodus_alberdiae" -5.09 41.19 10.35 "a43" TRUE
"839" "Machairodus_aphanistus" -5.09 41.19 10.35 "a43" TRUE
"840" "Machairodus_aphanistus" -0.18 41.42 10.35 "a44" TRUE
"841" "Machairodus_aphanistus" -0.38 41.42 10.35 "a45" TRUE
"842" "Machairodus_aphanistus" 1.19 41.76 10.35 "a47" TRUE
"843" "Machairodus_aphanistus" 1.12 41.9 10.35 "a4760" TRUE
"844" "Machairodus_aphanistus" 1.22 41.78 10.35 "a48" TRUE
"845" "Machairodus_aphanistus" 6.27 47.7 10.35 "a56" TRUE
"846" "Machairodus_aphanistus" 7.76 47.98 10.35 "a58" TRUE
"847" "Machairodus_aphanistus" 8 50 10.35 "a61" TRUE
"848" "Machairodus_palanderi" 101.84 35.72 10.35 "a3815" TRUE
"849" "Metailurus_major" 107.06 33.85 10.35 "a6007" TRUE
"850" "Metailurus_major" 107.06 33.85 10.35 "a6008" TRUE
"851" "Paramachairodus_ogygia" 8 50 10.35 "a61" TRUE
"852" "Pseudaelurus_lorteti" -0.38 41.42 10.35 "a1546" TRUE
"853" "Pseudaelurus_quadridentatus" -5.09 41.19 10.35 "a43" TRUE
"854" "Hipparion_catalaunicum" -0.76 40.62 10.35 "a3213" TRUE
"855" "Hipparion_catalaunicum" 1.19 41.56 10.35 "a46" TRUE
"856" "Hipparion_catalaunicum" 0.56 42.59 10.35 "a49" TRUE
"857" "Hipparion_dongxiangense" 101.84 35.72 10.35 "a3815" TRUE
"858" "Hipparion_dongxiangense" 101.69 35.5 10.35 "a4637" TRUE
"859" "Hipparion_forstenae" 92.15 47.41 10.35 "a4641" TRUE
"860" "Hipparion_longipes" 70.07 50.63 10.35 "a63" TRUE
"861" "Hipparion_sarmaticum" 28.44 46.94 10.35 "a52" TRUE
"862" "Hipparion_sarmaticum" 27.36 46.95 10.35 "a53" TRUE
"863" "Hipparion_sarmaticum" 28 47.39 10.35 "a55" TRUE
"864" "Hipparion_sarmaticum" 27.38 44.95 10.35 "a825" TRUE
"865" "Hipparion_weihoense" 104.31 37.86 10.35 "a78" TRUE
"866" "Hippotherium_koenigswaldi" -2.09 41.28 10.35 "a824" TRUE
"867" "Hippotherium_primigenium" -0.17 47.52 10.35 "a3313" TRUE
"868" "Hippotherium_primigenium" -1.88 40.71 10.35 "a3573" TRUE
"869" "Hippotherium_primigenium" 15.81 48.86 10.35 "a3655" TRUE
"870" "Hippotherium_primigenium" -0.83 38.7 10.35 "a4758" TRUE
"871" "Hippotherium_primigenium" 1.12 41.9 10.35 "a4759" TRUE
"872" "Hippotherium_primigenium" 1.12 41.9 10.35 "a4760" TRUE
"873" "Hippotherium_primigenium" 16.12 47.8 10.35 "a4761" TRUE
"874" "Hippotherium_primigenium" 17.04 47.92 10.35 "a4762" TRUE
"875" "Hippotherium_primigenium" 15.19 48.93 10.35 "a4763" TRUE
"876" "Hippotherium_primigenium" 27.36 46.95 10.35 "a53" TRUE
"877" "Hippotherium_primigenium" 26.83 47.27 10.35 "a54" TRUE
"878" "Hippotherium_primigenium" 16.1 47.77 10.35 "a57" TRUE
"879" "Hippotherium_primigenium" 7.76 47.98 10.35 "a58" TRUE
"880" "Hippotherium_primigenium" 8 50 10.35 "a61" TRUE
"881" "Deinotherium_giganteum" 7.28 49.83 10.35 "a1034" TRUE
"882" "Deinotherium_giganteum" -0.56 43.47 10.35 "a3312" TRUE
"883" "Deinotherium_giganteum" -0.17 47.52 10.35 "a3313" TRUE
"884" "Deinotherium_giganteum" 15.27 46.84 10.35 "a3647" TRUE
"885" "Deinotherium_giganteum" 16.38 47.58 10.35 "a3648" TRUE
"886" "Deinotherium_giganteum" 16.51 47.6 10.35 "a3649" TRUE
"887" "Deinotherium_giganteum" 16.34 47.6 10.35 "a3650" TRUE
"888" "Deinotherium_giganteum" 27.63 47.61 10.35 "a3651" TRUE
"889" "Deinotherium_giganteum" 16.54 47.68 10.35 "a3652" TRUE
"890" "Deinotherium_giganteum" 16.19 47.83 10.35 "a3653" TRUE
"891" "Deinotherium_giganteum" 11.08 48.7 10.35 "a3654" TRUE
"892" "Deinotherium_giganteum" 15.81 48.86 10.35 "a3655" TRUE
"893" "Deinotherium_giganteum" 15.16 48.88 10.35 "a3656" TRUE
"894" "Deinotherium_giganteum" 15.6 48.93 10.35 "a3657" TRUE
"895" "Deinotherium_giganteum" 7.04 49.27 10.35 "a3658" TRUE
"896" "Deinotherium_giganteum" 7.19 49.94 10.35 "a3659" TRUE
"897" "Deinotherium_giganteum" 7.13 49.97 10.35 "a3660" TRUE
"898" "Deinotherium_giganteum" 7.19 50.03 10.35 "a3661" TRUE
"899" "Deinotherium_giganteum" 7.07 50.11 10.35 "a3662" TRUE
"900" "Deinotherium_giganteum" 7.05 50.12 10.35 "a3663" TRUE
"901" "Deinotherium_giganteum" 1.19 41.76 10.35 "a47" TRUE
"902" "Deinotherium_giganteum" 28.44 46.94 10.35 "a52" TRUE
"903" "Deinotherium_giganteum" 6.27 47.7 10.35 "a56" TRUE
"904" "Deinotherium_giganteum" 16.1 47.77 10.35 "a57" TRUE
"905" "Deinotherium_giganteum" 7.76 47.98 10.35 "a58" TRUE
"906" "Deinotherium_giganteum" 15.64 48.84 10.35 "a60" TRUE
"907" "Deinotherium_giganteum" 8 50 10.35 "a61" TRUE
"908" "Prodeinotherium_bavaricum" 15.16 48.88 10.35 "a3656" TRUE
"909" "Prodeinotherium_bavaricum" 7.04 49.27 10.35 "a3658" TRUE
"910" "Prodeinotherium_bavaricum" 7.13 49.97 10.35 "a3660" TRUE
"911" "Prodeinotherium_bavaricum" 7.07 50.11 10.35 "a3662" TRUE
"912" "Prodeinotherium_bavaricum" 7.05 50.12 10.35 "a3663" TRUE
"913" "Prodeinotherium_bavaricum" 8 50 10.35 "a61" TRUE
"914" "Ancylotherium_pentelicum" -2.09 41.28 10.35 "a824" TRUE
"915" "Chalicotherium_grande" -0.38 41.42 10.35 "a1546" TRUE
"916" "Chalicotherium_grande" -0.76 40.62 10.35 "a3213" TRUE
"917" "Chalicotherium_grande" 1.19 41.76 10.35 "a47" TRUE
"918" "Chalicotherium_grande" 0.56 42.59 10.35 "a49" TRUE
"919" "Amphiprox_anocerus" -0.83 38.7 10.35 "a1033" TRUE
"920" "Amphiprox_anocerus" 7.28 49.83 10.35 "a1034" TRUE
"921" "Amphiprox_anocerus" 16.1 47.77 10.35 "a57" TRUE
"922" "Amphiprox_anocerus" 8 50 10.35 "a61" TRUE
"923" "Cervavitus_variabilis" 16.29 47.77 10.35 "a3130" TRUE
"924" "Dicrocerus_elegans" 7.05 50.12 10.35 "a3663" TRUE
"925" "Dicrocerus_elegans" 0.56 42.59 10.35 "a49" TRUE
"926" "Euprox_dicranoceros" -0.38 41.42 10.35 "a1546" TRUE
"927" "Euprox_dicranoceros" -0.76 40.62 10.35 "a3213" TRUE
"928" "Euprox_dicranoceros" -5.09 41.19 10.35 "a43" TRUE
"929" "Euprox_dicranoceros" 1.77 42.4 10.35 "a4383" TRUE
"930" "Euprox_dicranoceros" -0.18 41.42 10.35 "a44" TRUE
"931" "Euprox_dicranoceros" -0.38 41.42 10.35 "a45" TRUE
"932" "Euprox_dicranoceros" 1.19 41.76 10.35 "a47" TRUE
"933" "Euprox_dicranoceros" 1.22 41.78 10.35 "a48" TRUE
"934" "Euprox_dicranoceros" 0.56 42.59 10.35 "a49" TRUE
"935" "Euprox_dicranoceros" 6.27 47.7 10.35 "a56" TRUE
"936" "Euprox_dicranoceros" 16.1 47.77 10.35 "a57" TRUE
"937" "Euprox_dicranoceros" 8 50 10.35 "a61" TRUE
"938" "Euprox_dicranoceros" -2.09 41.28 10.35 "a824" TRUE
"939" "Euprox_furcatus" 7.28 49.83 10.35 "a1034" TRUE
"940" "Euprox_furcatus" 7.05 50.12 10.35 "a3663" TRUE
"941" "Euprox_furcatus" 27.36 46.95 10.35 "a53" TRUE
"942" "Euprox_furcatus" 27.38 44.95 10.35 "a825" TRUE
"943" "Euprox_minimus" 1.19 41.56 10.35 "a46" TRUE
"944" "Procapreolus_loczyi" 16.29 47.77 10.35 "a3130" TRUE
"945" "Procervulus_flerovi" 27.63 47.61 10.35 "a3651" TRUE
"946" "Procervulus_flerovi" 28.44 46.94 10.35 "a52" TRUE
"947" "Procervulus_flerovi" 27.36 46.95 10.35 "a53" TRUE
"948" "Procervulus_flerovi" 28 47.39 10.35 "a55" TRUE
"949" "Procervulus_flerovi" 27.7 47.29 10.35 "a6741" TRUE
"950" "Procervulus_flerovi" 27.38 44.95 10.35 "a825" TRUE
"951" "Procervulus_flerovi" 28.1 47.6 10.35 "a92" TRUE
"952" "Austroportax_latifrons" -0.38 41.42 10.35 "a1546" TRUE
